,0
0,0.43945312
1,-0.026611328
2,0.063964844
3,-0.13769531
4,0.119140625
5,-0.002609253
6,0.034179688
7,-0.096191406
8,0.19824219
9,0.17382812
10,-0.15234375
11,-0.01171875
12,-0.0067443848
13,-0.0019454956
14,0.023925781
15,0.0546875
16,0.13671875
17,0.28320312
18,-0.033935547
19,-0.15722656
20,-0.20214844
21,0.29492188
22,-0.13378906
23,-0.06640625
24,-0.09033203
25,-0.1875
26,0.0031585693
27,0.063964844
28,0.059326172
29,-0.14746094
30,-0.26367188
31,-0.17578125
32,0.008605957
33,-0.030151367
34,-0.08203125
35,-0.41992188
36,0.024658203
37,-0.052001953
38,0.021606445
39,0.3046875
40,0.23144531
41,-0.20898438
42,0.20507812
43,-0.26367188
44,-0.04296875
45,-0.15917969
46,0.08251953
47,0.037353516
48,-0.016967773
49,0.080078125
50,-0.34960938
51,0.21777344
52,-0.17382812
53,0.028076172
54,0.29882812
55,-0.012329102
56,0.096191406
57,-0.20800781
58,0.09423828
59,-0.08984375
60,-0.099609375
61,0.11230469
62,-0.10498047
63,-0.029785156
64,-0.07373047
65,0.055664062
66,-0.10644531
67,0.076171875
68,-0.02319336
69,-0.06982422
70,-0.23925781
71,0.021972656
72,0.09472656
73,0.020141602
74,-0.21191406
75,0.07861328
76,0.07714844
77,-0.15625
78,0.21679688
79,0.016479492
80,0.22851562
81,0.020019531
82,-0.203125
83,-0.20117188
84,-0.10205078
85,0.071777344
86,-0.234375
87,-0.14355469
88,-0.21582031
89,0.24707031
90,-0.06640625
91,0.12207031
92,-0.15039062
93,0.14550781
94,-0.17578125
95,0.46484375
96,0.09667969
97,0.107421875
98,-0.17675781
99,-0.31445312
100,0.30664062
101,0.16992188
102,-0.22753906
103,-0.13476562
104,0.021118164
105,0.037109375
106,0.01953125
107,0.19921875
108,-0.34179688
109,-0.09033203
110,-0.068359375
111,0.1640625
112,0.14941406
113,-0.20996094
114,-0.1484375
115,-0.06591797
116,-0.09667969
117,0.13476562
118,0.029052734
119,0.048095703
120,-0.21191406
121,-0.20703125
122,0.27734375
123,-0.18359375
124,-0.25
125,0.15820312
126,-0.068359375
127,-0.067871094
128,0.19433594
129,0.32421875
130,-0.22851562
131,0.21582031
132,-0.14257812
133,0.390625
134,0.23730469
135,0.088378906
136,-0.099121094
137,0.08984375
138,-0.23828125
139,0.19726562
140,0.10888672
141,0.20800781
142,-0.059570312
143,0.44140625
144,0.099121094
145,0.16308594
146,-0.03564453
147,0.25
148,-0.52734375
149,-0.21191406
150,0.10888672
151,0.095214844
152,0.07470703
153,0.17578125
154,-0.027954102
155,-0.003967285
156,0.02368164
157,-0.21777344
158,-0.14453125
159,0.16601562
160,0.034423828
161,-0.063964844
162,0.031982422
163,-0.07470703
164,0.17675781
165,-0.045654297
166,0.12109375
167,-0.25976562
168,0.12451172
169,0.12597656
170,0.055908203
171,0.29101562
172,-0.28320312
173,0.12060547
174,-0.091796875
175,-0.1328125
176,-0.12890625
177,-0.16796875
178,-0.021972656
179,-0.35546875
180,-0.17773438
181,0.1484375
182,0.13378906
183,-0.34375
184,-0.045166016
185,-0.0390625
186,0.04736328
187,-0.11279297
188,0.07373047
189,-0.05029297
190,-0.140625
191,0.13574219
192,0.18554688
193,-0.20800781
194,0.046875
195,0.16796875
196,0.0017242432
197,-0.15722656
198,-0.09472656
199,0.47851562
200,0.33984375
201,-0.067871094
202,-0.42773438
203,-0.24511719
204,0.3359375
205,-0.04345703
206,0.06347656
207,0.052734375
208,-0.20507812
209,-0.14550781
210,-0.1875
211,-0.09667969
212,-0.07324219
213,-0.103027344
214,-0.09082031
215,0.030273438
216,-0.0047912598
217,0.02758789
218,-0.10888672
219,-0.3359375
220,0.34570312
221,0.43554688
222,0.055419922
223,-0.08154297
224,0.17285156
225,0.14355469
226,-0.048583984
227,0.17480469
228,-0.15527344
229,-0.037597656
230,-0.0625
231,-0.119628906
232,0.1328125
233,0.22265625
234,0.21484375
235,0.20019531
236,-0.15234375
237,-0.053710938
238,0.22070312
239,0.10058594
240,0.107910156
241,-0.50390625
242,-0.047851562
243,-0.040771484
244,-0.088378906
245,-0.104003906
246,0.20898438
247,0.15625
248,-0.056152344
249,-0.296875
250,-0.20019531
251,0.28320312
252,0.34960938
253,0.28710938
254,-0.12402344
255,-0.6171875
256,0.26367188
257,-0.21484375
258,0.19824219
259,-0.103515625
260,-0.29492188
261,-0.14453125
262,0.040039062
263,-0.13378906
264,-0.20410156
265,0.30273438
266,-0.18554688
267,-0.34765625
268,-0.31054688
269,-0.008666992
270,0.05517578
271,0.087890625
272,0.16796875
273,0.122558594
274,0.20605469
275,0.01965332
276,0.1796875
277,0.19335938
278,0.23339844
279,0.08886719
280,-0.16113281
281,-0.375
282,-0.11816406
283,-0.16308594
284,0.24414062
285,0.008361816
286,-0.24511719
287,-0.27148438
288,-0.01940918
289,-0.118652344
290,-0.21289062
291,0.09326172
292,-0.055664062
293,0.10058594
294,-0.06982422
295,-0.06689453
296,0.016479492
297,-0.15136719
298,-0.099609375
299,0.09375
